['id', 'hip', 'hd', 'hr', 'gl', 'bf', 'proper', 'ra', 'dec', 'dist', 'pmra', 'pmdec', 'rv', 'mag', 'absmag', 'spect', 'ci', 'x', 'y', 'z', 'vx', 'vy', 'vz', 'rarad', 'decrad', 'pmrarad', 'pmdecrad', 'bayer', 'flam', 'con', 'comp', 'comp_primary', 'base', 'lum', 'var', 'var_min', 'var_max']
119585,,,,Gl 905,,,23.698379,44.174924,3.1686,84.26,-1607.79,-77.7,12.29,14.786,dM6  e,1.9,2.262649,-0.179022,2.205274,-0.00003953,0.00000443,-0.0000731,6.204221151,0.770997876,4.08504E-07,-7.7948E-06,,,,1,119585,,0.000106072,,,
16496,16537,22049,1084,Gl 144,18Eps Eri,,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,0.00002243,0.00000458,-0.00000256,0.929086175,-0.165077816,-4.73391E-06,8.7121E-08,Eps,18,Eri,1,16496,,0.292954383,Eps,3.735,3.715
113687,114046,217987,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,0.00004484,0.00009974,0.00001138,6.046919538,-0.625754162,3.28086E-05,6.43183E-06,,,PsA,1,113687,,0.010734949,,,
57375,57548,,,Gl 447,,,11.795666,0.804563,3.3553,605.62,-1219.23,-31.1,11.12,13.491,M4.5V,1.746,-3.349892,0.179372,0.047111,0.00003095,-0.00001152,-0.00002028,3.088098042,0.014042269,2.93613E-06,-5.91099E-06,,,Vir,1,57375,,0.000349623,,11.171,11.041
119518,,,,Gl 866A,,,22.642562,-15.302542,3.3979,2361.37,2233.03,-60,12.66,15.004,M5  e,1.98,3.069893,-1.139264,-0.895949,-0.0000328,0.00005369,0.0000517,5.927808781,-0.267079749,1.14482E-05,1.08261E-05,,,,1,119518,Gl 866,8.67761E-05,,,
91487,91772,173740,,Gl 725B,,,18.713249,59.626847,3.4545,-1393.2,1845.73,1.2,9.7,12.008,K5,1.561,0.324167,-1.716358,2.980381,-0.00002776,0.00002126,0.00001669,4.899117171,1.040684797,-6.75442E-06,8.94835E-06,,,Dra,2,91484,Gl 725,0.001370251,,,
103879,104214,201091,8085,Gl 820A,61    Cyg,,21.114794,38.749415,3.4865,4155.1,3258.9,-64.8,5.2,7.488,K5V,1.069,1.979356,-1.863636,2.181892,-0.00001456,0.0001102,0.00000149,5.527840164,0.67630488,2.01445E-05,1.57996E-05,,61,Cyg,1,103879,Gl 820,0.088064323,V1803,5.682,5.002
118493,,,,Gl 280B,,,7.655006,5.226824,3.4974,-702.34,-1021.92,0,10.7,12.981,DA,,-1.462274,3.161021,0.31861,0.00001014,0.00000644,-0.00001725,2.00407593,0.091225282,-3.40504E-06,-4.95439E-06,,,CMi,2,37173,Gl 280,0.000559242,,,
103883,104217,201092,8086,Gl 820B,61    Cyg,,21.115163,38.742055,3.498,4107.4,3143.72,-64.3,6.05,8.331,K7V,1.309,1.986273,-1.869789,2.188742,-0.00001387,0.00010874,0.00000044,5.527936855,0.676176415,1.99132E-05,1.52412E-05,,61,Cyg,2,103879,Gl 820,0.040513522,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041,0.091193332,-3.47403E-06,-5.01579E-06,Alp,10,CMi,1,37173,Gl 280,7.440463662,,,
117979,,,,Gl 15B,,,0.30516,44.023502,3.568,2880.25,415.05,11.3,11.06,13.298,M6 Ve,1.79,2.557764,0.20548,2.479994,-0.00000063,0.00004993,0.00001319,0.079890711,0.768355054,1.39638E-05,2.01222E-06,,,And,2,1472,Gl  15,0.000417638,,,
91484,91768,173739,,Gl 725A,,,18.713179,59.630396,3.5691,-1326.88,1802.12,-0.8,8.94,11.177,K5,1.504,0.334856,-1.773105,3.079349,-0.00002763,0.00002258,0.00001506,4.899098725,1.040746744,-6.4329E-06,8.73692E-06,,,Dra,1,91484,Gl 725,0.002945778,,9.149,8.809
1472,1475,1326,,Gl 15A,,,0.306174,44.022954,3.5873,2888.92,410.58,12,8.09,10.316,M1V,1.56,2.571275,0.20667,2.493057,-0.00000017,0.00005039,0.00001366,0.080156205,0.76834549,1.40059E-05,1.99055E-06,,,And,1,1472,Gl  15,0.006510285,GX,8.125,8.065
108526,108870,209100,8387,Gl 845,Eps Ind,,22.055486,-56.785977,3.6224,3959.97,-2538.84,-40.4,4.69,6.895,K5V,1.056,1.732589,-0.966715,-3.030307,-0.00001843,0.00008993,0.00001014,5.774112724,-0.991102263,1.91985E-05,-1.23086E-05,Eps,,Ind,1,108526,,0.152054753,,,
118541,,,,GJ 1111,,,8.497244,26.778532,3.6258,-1141.11,-601.64,-5,14.81,17.013,M6.5,2.06,-1.968452,2.569351,1.633464,0.0000158,0.00001236,-0.00001174,2.22457321,0.467373555,-5.53226E-06,-2.91682E-06,,,,1,118541,,1.36395E-05,,,
8087,8102,10700,509,Gl 71,52Tau Cet,,1.734479,-15.93748,3.6502,-1721.82,854.07,-17,3.49,5.678,G8V,0.727,3.154083,1.539508,-1.00226,0.00000207,-0.00003289,0.00001931,0.45408544,-0.278161501,-8.34762E-06,4.14065E-06,Tau,52,Cet,1,8087,,0.466444525,,,
5632,5643,,,Gl 54.1,,,1.208502,-16.998967,3.6899,1210.09,646.95,28,12.1,14.265,M5.5Ve,1.85,3.353772,1.097975,-1.078832,0.00002251,0.00003014,0.00000269,0.316385148,-0.296687946,5.86668E-06,3.1365E-06,,,Cet,1,5632,,0.000171396,YZ,12.201,12.001
82472,82724,,,,,,16.908863,-62.399734,3.6964,294.47,205.48,0,11.85,14.011,Mp,1.729,-0.482554,-1.64315,-3.275755,0.00000414,-0.00000462,0.00000171,4.426729957,-1.089080812,1.42763E-06,9.96195E-07,,,Ara,1,82472,,0.000216571,,,
36107,36208,,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27,-3694.25,18.2,9.84,11.94,M5,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952186962,0.091207157,2.7696E-06,-1.79102E-05,,,CMi,1,36107,,0.001458814,,,
24129,24186,33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.05,-5731.39,245.5,8.86,10.898,M0V,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.359830239,-0.785719603,3.15422E-05,-2.77866E-05,,,Pic,1,24129,,0.003808904,VZ,9.148,8.828
104751,105090,202560,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,-3259,-1146.99,28.2,6.69,8.709,M1/M2V,1.397,2.330004,-2.003156,-2.476477,-0.00003405,-0.00005295,-0.00003518,5.573113374,-0.678363443,-1.58001E-05,-5.56076E-06,,,Mic,1,104751,,0.028602237,AX,6.707,6.667
110547,110893,239960,,Gl 860A,,Kruger 60,22.466642,57.695875,4.001,-870.23,-471.1,-33.3,9.59,11.579,M2V,1.613,1.968033,-0.83547,3.381486,-0.00001624,-0.00001144,-0.00003367,5.881753023,1.006982982,-4.21899E-06,-2.28396E-06,,,Cep,1,110547,Gl 860,0.00203423,DO,9.628,9.548
119505,,,,Gl 860B,,,22.467267,57.696623,4.0077,-854.68,-391.3,-31.7,11.3,13.286,M6 V,1.8,1.97065,-0.836546,3.386059,-0.00001651,-0.00001103,-0.00003147,5.881916687,1.006996042,-4.14361E-06,-1.89709E-06,,,Cep,2,110547,Gl 860,0.00042228,,,
72284,72511,,,Gl 563.2B,,,14.825751,-26.105704,4.034,-1389.7,135.76,44,11.72,13.691,M,1.48,-2.675893,-2.442217,-1.775248,-0.00004903,-0.00000796,-0.00001742,3.881372459,-0.455630483,-6.73746E-06,6.58183E-07,,,Hya,2,72283,Gl 563.2,0.000290804,,11.84,11.53
118428,,,,Gl 234B,,,6.489939,-2.812227,4.1171,702.48,-697.59,0,14.6,16.527,,,-0.526003,4.078362,-0.201997,-0.00001382,-0.00000247,-0.00001391,1.699062118,-0.049082624,3.40572E-06,-3.382E-06,,,,2,30847,Gl 234,2.13403E-05,,,
30847,30920,,,Gl 234A,,,6.489833,-2.813979,4.1268,694.73,-618.62,16.7,11.12,13.042,M4.5Ve,1.69,-0.527146,4.088126,-0.202607,-0.00001589,0.00001454,-0.0000132,1.699034417,-0.049113198,3.36815E-06,-2.99915E-06,,,Mon,1,30847,Gl 234,0.000528689,V577,11.176,11.066
82473,82725,,,,,,16.908971,-62.403319,4.1465,254.79,173.56,0,11.72,13.632,,,-0.541199,-1.843027,-3.674755,0.00000404,-0.00000441,0.00000162,4.426758283,-1.089143388,1.23526E-06,8.41443E-07,,,Ara,1,82473,,0.000307044,,12.005,11.545
3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.214522514,0.094048979,5.978E-06,-1.31412E-05,,,,1,3820,,0.00017832,,12.621,12.091
118236,,,,GJ 1061,,,3.599704,-44.511897,4.2918,727.33,-399.86,-20,13.03,14.867,M4.5,1.9,1.798507,2.475398,-3.00808,-0.00002425,-0.00000762,0.00000841,0.942400353,-0.776879156,3.5262E-06,-1.93855E-06,,,,1,118236,,9.84464E-05,,,
80579,80824,,,Gl 628,,,16.505017,-12.662594,4.2922,-93.61,-1184.9,-13,10.1,11.937,M4,1.604,-1.597477,-3.871023,-0.940865,0.00000521,0.00001773,-0.00002114,4.321003265,-0.22100395,-4.53834E-07,-5.74456E-06,,,Oph,1,80579,,0.001462851,V2306,10.143,10.063
118830,,,,Gl 473A,,,12.554778,9.020714,4.3066,-1794.92,233.12,0,13.04,14.869,dM5.5eJ,1.83,-4.208555,-0.615564,0.675238,-0.00000468,0.00003719,0.00000481,3.286833112,0.157441165,-8.70202E-06,1.1302E-06,,,,1,118830,Gl 473,9.82653E-05,,,
118831,,,,Gl 473B,,,12.554778,9.020714,4.3066,-1794.92,233.12,0,13.3,15.129,M7,,-4.208555,-0.615564,0.675238,-0.00000468,0.00003719,0.00000481,3.286833112,0.157441165,-8.70202E-06,1.1302E-06,,,,2,118830,Gl 473,7.73393E-05,,,
442,439,225213,,Gl 1,,,0.089883,-37.357364,4.3399,5634.07,-2337.94,22.9,8.56,10.373,M2V,1.462,3.448844,0.081384,-2.633508,-0.00001398,0.00011824,-0.00005331,0.023531392,-0.652008993,2.73147E-05,-1.13347E-05,,,Scl,1,442,,0.006177319,,,
118583,,,,NN 3522,,,8.982236,8.475397,4.4643,322.61,-313.72,0,10.89,12.641,k,1.67,-3.107711,3.136747,0.657969,-0.00000566,-0.0000042,-0.00000672,2.351543863,0.147923578,1.56406E-06,-1.52098E-06,,,Cnc,1,118583,,0.000764892,,,
118100,,,,Gl 83.1,,,2.003563,13.05304,4.4683,1113.71,-1768.54,-31,12.28,14.029,dM8  e,1.8,3.76629,2.179192,1.008821,-0.00003131,0.00000976,-0.00004449,0.524531584,0.227818533,5.39942E-06,-8.57414E-06,,,,1,118100,,0.00021301,,,
118704,,,,NN 3618,,,10.742414,-61.193586,4.4883,-340.24,1614.54,0,13.92,15.66,m,1.82,-2.046475,0.699423,-3.932885,-0.00002674,0.00001696,0.00001692,2.812357364,-1.068029559,-1.64953E-06,7.82751E-06,,,,1,118704,,4.74242E-05,,,
118707,,,,NN 3622,,,10.803471,-11.336727,4.5249,601.06,-1525.88,-7,15.6,17.322,M6.5,2.1,-4.220385,1.367034,-0.889411,0.00000886,-0.00001673,-0.00003142,2.82834211,-0.197863208,2.91402E-06,-7.39769E-06,,,,1,118707,,1.02612E-05,,,
85899,86162,,,Gl 687,,,17.607283,68.339141,4.5282,-320.47,-1269.55,-23.2,9.15,10.87,M3.5Vvar,1.505,-0.171572,-1.662506,4.208248,-0.00000876,-0.00001633,-0.00003234,4.609575949,1.192743024,-1.55368E-06,-6.15495E-06,,,Dra,1,85899,,0.003908409,,,
85264,85523,,,Gl 674,,,17.47772,-46.89519,4.5405,573.32,-879.84,-10.2,9.38,11.094,K5,1.553,-0.422874,-3.073668,-3.314975,0.0000154,0.00001935,-0.00000562,4.57565634,-0.818475472,2.77953E-06,-4.26558E-06,,,Ara,1,85264,,0.003179801,,,
